idx,Sentence,Fig_Exp,Replacement,DMS,SE,General,Type
415,"Hi @reedwm thanks for the analysis, let me quickly check to see which kind of release will best address this issue.","release, address","Hi @reedwm thanks for the analysis, let me quickly check to see which kind of deployment will best fix this issue.","Hi @reedwm thanks for the analysis, let me quickly check to see which kind of medication will best address this illness.",release,address,metaphor
1329,"The different values you get is most likely caused by the fact that the JVM is ""greedy"" - it does not release memory once it has allocated it.","release, allocate","The different values you get is most likely caused by the fact that the JVM is ""greedy"" - it does not free memory once it has placed it.","The different values you get is most likely caused by the fact that the JVM is ""rigorous"" - it does not accept incorrect syntax once it has encountered it.","release, allocate",,metaphor
494,I believe this is a remnant of a copy paste :),remnant of a copy paste,I believe this is some reused code :),I am convinced that this is a fragment of a torn map.,remnant of a copy paste,,idiom
218,Bottom line - if the subscribed person with the right perms wants to do something about the Issue/PR they can.,"Bottom line, right perms",In conclusion - if the subscribed person with the right access wants to do something about the Issue/PR they can.,"At the store, the bottom line of shelves has the right perms for my curly hair to do natural-looking waves.",right perms,Bottom line,idiom
801,"If we can rollback the commit within a few hours of CI failure, then that would be a great step ahead.","rollback, commit, great step ahead","If we can revert the local change within a few hours of CI failure, then that would be a great progress.","If we can retract the laser eye procedure within a few hours of an unforeseen complication, then that would be a great step ahead.","rollback, commit",great step ahead,metaphor
453,I actually prefer rolling back to that status.,rolling back,I actually prefer undoing changes to get back to that status.,I actually prefer moving forward to that status.,rolling back,,idiom
1103,"Sadly, I don't understand the root cause of this issue, also I am not lucky enough to reproduce this concurrent issue :sob:","not lucky enough, root cause","Sadly, I don't understand the root cause of this issue, also I am not able accidnetally to reproduce this concurrent issue :sob:","As an amateur gardener, I am not lucky enough to have fertile soil, which makes it difficult to find the root of thie unwanted plant and address the concurrent pest problem.",root cause,not lucky enough,idiom
902,"It's one of the only rough edges in the current design, I think.",rough edges,"It's one of the only things that need to be improved in the current design, I think.","It's one of the only missing pieces in the current design, I think.",rough edges,,idiom
1376,There are still a few rough edges but I think it is good for a first review.,rough edges,There are still a few things that need to be improved but I think it is good for a first review.,There are still a few issues but I think the itinerary is okay for a preliminary plan.,rough edges,,idiom
1297,That means you can't run flow at the top level which kind of sucks.,"run flow, sucks",That means you can't utilize flow at the top level which is kind of bad.,"That means you can't jog through the park at night, which kind of sucks.",run flow,sucks,metaphor
1509,Unfortunately I don't currently have any means to run a patch through the full automated CI run.,"means, run, patch, full",Unfortunately I don't currently have any of the requirements to use code changes through the completely automated CI run.,"Unfortunately, I don't currently have any tickets to board a plane through the complete automated check-in process.","run, patch ","means, full",metaphor
819,"In comparison, running things on cPanel is a no brainer for them.","no brainer, running","In comparison, executing things on cPanel is an obvious choice for them.","In comparison, using a calculator for basic calculations is a no hassle for them.",running,no brainer,metaphor
1101,Running a bad tinker command is as bad as running a bad SQL query.,running,Running a bad tinker command is as bad as using a bad SQL query.,Running a marathon is like as bad as running through a field of thorny bushes.,running,,metaphor
487,I am running into lots of bugs with that when trying to infer the shape.,"running into lots of bugs, infer the shape",I am encountering many code problems with that when trying to understand the number of matrix rows and columns.,I am running into lots of insects with that when trying to identify the plant species.,"running into lots of bugs, infer the shape",,idiom
614,I tested it in Insiders today since it was updated and not running into this bug anymore :),running into this bug,I tested it in Insiders today since it was updated and not receiving this error in the code anymore :),I examined it in the beta version today since it was updated and still facing this malfunction anymore :(,running into this bug,,idiom
1110,"Seems like that's a nice safeguard, though it's admittedly not totally necessary.",safeguard,"Seems like that's a nice check, though it's admittedly not totally necessary.","Seems like that's a thrilling trail of biking, though it's confessedly not completely anticipated.",safeguard,,metaphor
977,My brain is bit fried and I’m not sure how to interpret the sandbox.,"fried, Sandbox",My mind is exhausted and I’m not sure how to interpret the testing environment.,"The chicken is a bit fried, so I'm going to grab some cooking oil and start frying it up in a pan.",Sandbox,fried,metaphor
1337,The intellisense starts playing goofy if I can't sandbox it down.,"playing goofy, sandbox",The intellisense starts performing strangely if I can't test it in isolation.,"The dog was playing goofy tricks to entertain us, just as the cat was contentedly relaxing in its clean sandbox.",sandbox,playing goofy,metaphor
289,"Currently there is no attempt to leave things in a sane state, at least not intentional, since failing to load from disk results into exiting.",sane state,"Currently there is no attempt to leave things in a error-free status, at least not intentional, since failing to load from disk results into exiting.","Currently, there is no attempt to keep things in a mentally healthy condition, at least not intentional, since failing to move away from the toxic environments to seek solace and positivity.",sane state,,idiom
11,"(such as starting with `:` or `<`)
Thanks for the sanity check.",sanity check,"(such as starting with `:` or `<`)
Thanks for the basic test.",(such as starting with 'rain' or 'sunshine') Thanks for the weather forecast.,sanity check,,idiom
146,"Also, this action can be combined with recently added 'exclude packages' option by @jpstotz in #419, so this will save memory and speed up decompilation.",save memory,"Also, this action can be combined with recently added 'exclude packages' option by @jpstotz in #419, so this will conserve storage and speed up decompilation.","Also, this action can be combined with recently added 'exclude packages' option by @jpstotz in #419, so this will increase memory consumption and speed up decompilation.",save memory,,idiom
864,it will save one more byte in many many cases.,save one more byte,it will save more storage in many many cases.,It will reduce one more error in many many cases.,save one more byte,,idiom
998,"No worries it is ok :)
It is mostly because I'm currently reworking a lot of things of TF side including the way we save/load the weights.",save/load the weights,"No worries it is ok :)
It is mostly because I'm currently reworking a lot of things of TF side including the way we save/load the coeficients.","No worries it is ok :) It is mostly because I'm currently redesigning many aspects of the fitness program, including the way we add weight plates and load them onto the barbell.",save/load the weights,,idiom
1033,"Ok I screwed my merge, gonna redo a pull request.",screwed my merge,"Ok I messed up my implementation, gonna redo a pull request.","Ok, I made a mistake in assembling the puzzle, gonna take it apart and try again.",screwed my merge,,idiom
1096,Really frustrating to not be able to scroll by touch when referencing code and collaborating around the office.,scroll by touch,Really frustrating to not be able to navigate the page using the trackpad when referencing code and collaborating around the office.,It's really satisfying to have aching muscles after an intense workout session when striving for a healthy and fit lifestyle.,scroll by touch,,idiom
1513,"Unfortunately, the above declaration with alignment is only semantically good.","declaration, semantically","Unfortunately, the above variable name setting with alignment is only verbally good.","Regrettably, the aforementioned flower arrangement with symmetry is only aesthetically pleasing.",semantically,declaration,metaphor
1295,That is why shard isn't working as you expected.,shard,That is why the data fragment isn't working as you expected.,That is why the broken glass shard isn't cutting as you expected.,shard,,metaphor
1414,"This is a bad change, the standalone editor needs to ship codicons","change, ship","This is a change that will negatively affect the results, the standalone editor needs to contain codicons when it's released.","This is a good change, the integrated editor doesn't need to include any icons.",ship,bad,metaphor
1118,Shows the faulting module is 4-5 different DLLs over and over.,"shows the faulting module, over and over",Shows the state the computer responds to logic errors in is 4-5 different DLLs repeatedly.,Shows the video clip is looping over and over.,shows the faulting module,over and over,idiom
351,"From our point of view, this is by far and away THE showstopper in 3.1 as it locks up our dynos in ""production"" if we have a method missing anywhere in our code","by far and away, showstopper","From our point of view, this is absolutely THE biggest bug in 3.1 as it locks up our dynos in ""production"" if we have a method missing anywhere in our code","From our perspective, this is by a large margin the best dessert we have ever tasted, as it sets our taste buds apart from the rest, if we have a sweet tooth.",showstopper,by far and away,idiom
795,"If the test were correct, there would have been a silent error here.",silent error,"If the test were correct, there would have been an undected bug here.","If the alarm system were functioning correctly, there would have been a blaring sound here.",silent error,,metaphor
995,No need to put it in the skeleton app in my opinion.,skeleton app,No need to put it in the basic app in my opinion.,No need to exclude it from the fully functional app in my opinion.,skeleton app,,metaphor
149,Am happy to help with the JAX/Flax model port - see my previous comment for how to efficiently copy over the skeleton code from FlaxWav2Vec2!,skeleton code,Am happy to help with the JAX/Flax model port - see my previous comment for how to efficiently copy over the template code from FlaxWav2Vec2!,I'm excited to assist with the forensic investigation - refer to my earlier comment for the best method to analyze the skeletal remains from the crime scene!,skeleton code,,metaphor
1128,"So clients are not convinced about slaves, so can't use slaves anyway.",slaves,"So clients are not convinced about dependant devices, so can't use dependant devices anyway.","So clients are not convinced about importing historical artifacts of slaves, so can't use slave-related items anyway.",slaves,,metaphor
345,"For what it's worth, it lacks a ""Sleep"" hotkey - it might be interesting to see if this issue still occurs for someone with that key.","for what it's worth, Sleep hotkey","if it matters, it lacks a Standby hotkey- it might be interesting to see if this issue still occurs for someone with that key.","Considering the user experience, it lacks a ""Mute"" button - it might be interesting to see if this issue still occurs for someone with that feature.",Sleep hotkey,for what it's worth,idiom
1548,We shouldn't be generating sloppy markup because it's easier and the browsers currently permit it.,sloppy markup,We shouldn't be generating disorganized markup because it's easier and the browsers currently permit it.,"During the art session, we shouldn't be promoting sloppy markup on the canvas just because it's easier and the art instructors currently permit it.",sloppy markup,,metaphor
319,"Even so, the indexer plugin does not slow down things on fast machines removing it from constant search plugins can be beneficial for slow machines.","slow down things, slow machines","Even so, the indexer plugin does not slow down things on fast machines removing it from constant search plugins can be beneficial for less fast computers.","Even so, the antivirus software does not slow down the system performance on powerful computers. Excluding it from the list of background processes can be advantageous for those with limited computing resources.",slow machines,slow down things,idiom
137,"All small bytes help, and this is an easy one.",small bytes,"All tiny portions aid , and this is an easy one.","At the charity bake sale, all small bytes of cake help, especially this easy-to-chew one.",small bytes,,metaphor
1550,"We try to avoid single letter name variables, it's a really small nit !",small nit,"We try to avoid single letter name variables, it's a minor inconvenience !","We deliberately avoid single letter name variables, it's a massive annoyance!",small nit,,metaphor
402,"Hey @hadaev8,
That's actually quite a smart fix :-) Think I'd be ok with adding this!",smart fix,That's actually quite a wise solution :-) Think I'd be ok with adding this!,"Hey @hadaev8, I saw your new smart home setup, and I must say, the way you fixed the thermostat with your phone is quite a smart fix!",smart fix,,metaphor
1470,This seems like a smell.,smell,This seems like a deeper problem.,This seems like a smell of freshly baked bread.,smell,,metaphor
828,"Interesting... for some reason that didn't work for me when I last edited the smoke test, I really had to start two watch tasks.","for some reason, smoke test","Interesting... I don't know why but that didn't work for me when I last edited the preliminary test, I really had to start two careful observation of the code run.","Curious... for some reason that didn't work for me when I last harvested the wheat, I really had to start two plowing tasks.",smoke test,for some reason,idiom
371,Great that you updated the smoke test.,smoke test,Great that you updated tests for detecting simple failures.,Great that you updated the test for screening smoke detectors.,smoke test,,idiom
605,I smoke tested all of the individual targets and they all still seem to work okay.,smoke tested,I tested the most important parts of all of the individual targets and they all still seem to work okay.,I lit a smoke signal near the individual targets and they all still seem to be operational.,smoke tested,,idiom
1221,Tests are easier to read in snake case - especially with long names.,snake case,"Tests are easier to read in lower case with ""_""- especially with long names.",Tests are easier to read in camelCase - especially with long names.,snake case,,idiom
329,feel free to ignore the snap bug.,snap bug,feel free to ignore the code error.,feel free to ignore the snap bug during insect exhibition display.,snap bug,,metaphor
1552,"We want to 'lock' 0.25 this Friday, due to size, we feel we should get this in 0.27 as soon as we snap to stable.",snap to stable,"We want to 'lock' 0.25 this Friday, due to size, we feel we should get this in 0.27 as soon as we switch to the production release.","We want to lock the gate at 0.25 PM this Friday, due to privacy concerns, we feel we should admit guests to the premises at 0.27 PM as soon as we attain stability.",snap to stable,,idiom
1082,"Please revert it to the old version , or solve my merge conflict for me :P",solve my merge conflict,"Please revert it to the old version , or solve the problem with my code's incompatibility for me :P","Please keep it as the new version, or create a merge conflict for me.",solve my merge conflict,,idiom
1067,Otherwise we are spinning wheels waiting and waiting and things continue to remain broken meanwhile.,spinning wheels,Otherwise we are not making progress and things continue to remain broken meanwhile.,"Otherwise, we are spinning the wheels of our bicycles waiting and waiting, while they continue to remain broken.",spinning wheels,,metaphor
572,I kind of like the minimalism for now but I've been known to change the splash page for major version updates.,splash page,I kind of like the minimalism for now but I've been known to change the loading screen for major version updates.,"I kind of like the soothing splashes for now, but I've been known to change the pool's water flow for relaxation sessions.",splash page,,idiom
783,"If it does, I'll squash my commits","squash, commits","If it does, I'll remove the changes","If it rains, the squash bugs will eat my plants.","squash, commits",,metaphor
1200,Squashed down to a single commit.,"squashed, commit",condensed to a single set of local changes.,The chef squashed the tomato down to a single sauce.,"squashed, commit",,metaphor
1117,Shouldn't it be also commited to the stable branch?,stable branch,Shouldn't it be also commited to the production release repository,Shouldn't the farmer also commit to providing a stable branch for the horses to chew on?,stable branch,,idiom
1073,Pest hasn't had a stable release yet.,stable release,Pest hasn't had a error-free program yet.,"The pest issue remains unresolved, as it has not experienced a viable solution.",stable release,,idiom
875,It would be great to have above stand alone code as Colab gist to replicate this behavior.,stand alone code,It would be great to have above code without any other code as Colab gist to replicate this behavior.,It would be fantastic to have the recipe printed out on a separate sheet to easily recreate this delicious dish.,stand alone code,,idiom
1342,The method is a bit hacky at the moment and could definitely be cleaned up in a future PR - I've copy-pasted some code from the previous state of the PR.,"hacky, cleaned, copy-pasted, state",The method is a bit difficult to read at the moment and could definitely be refined up in a future PR - I've reused some code from the previous version of the PR.,The method is flawless at the moment and requires no further optimization in a future PR - I've created some new code specifically for the current state of the PR.,state,"copy-pasted, hacky, cleaned",metaphor
247,But that feels weird to me to do: I see this as straddling line between tensor world and buffer world and should be a dedicated pass to go from one to the other.,"straddling line, tensor world, buffer world",But that feels weird to me to do: I see no clear separation between being a tensor and being a temporary computer memory in this and should be a clear method to convert one to the other.,But that feels unusual to me to do: I see this as crossing the boundary between two cities and should be a dedicated route to transition from one to the other.,"straddling line, tensor world, buffer world",,idiom
1015,Not sure what caused the sudden spike or why the VSZ is so much bigger than the memory peak.,"sudden spike, memory peak",Not sure what caused the sudden increase or why the VSZ is so much bigger than the memory zenith.,Not sure what caused the unexpected decline or why the demand is so much bigger than the supply.,"sudden spike, memory peak",,idiom
241,"But like I say, super edge case and happy to leave it as is.",super edge case,"But like I say, it's a situation that occurs in very rare circumstances and happy to leave it as is.","However, as I mention, it's an extremely rare species of plant, and I'm content to let it remain in its current state.",super edge case,,idiom
849,It looks like all .net core projects generate that error while switching between forks.,switching between forks,It looks like all .net core projects generate that error while channging between repsoitory copies.,It looks like all discussions generate that noise while people switch between forks during their dinner at the company cafeteria.,switching between forks,,idiom
554,I have just sync my branch with main.,sync my branch,I have just set my copy equal with main.,I have just connected my tree branch with the main stem.,sync my branch,,idiom
1594,Would love to see something that allows one to view and possibly alter the system hotkey table.,system hotkey table,Would love to see something that allows one to view and possibly alter the Keyboard shortcut directory.,Would love to see something that allows one to view and possibly alter the car engine configuration.,system hotkey table,,metaphor
13,@888seth a screenshot of the teared away tabs may help.,teared away tabs,@888seth a screenshot of the relevant internet pages may help.,A photo of the broken branches may help in identifying the tree species.,teared away tabs,,metaphor
805,"If you fake the tenant db handler, the default connection is used.","fake, tenant db","If you misrepresent the user db handler, the default connection is used.","If you fabricate the employee badge, you can enter the office building without any restrictions.",tenant db,fake,metaphor
438,Hopefully that won't make the test matrix gods angry.,test matrix gods,"Hopefully, that won't cause errors in test matrix.","Hopefully, that won't make the coffee machine gods angry.",test matrix gods,,metaphor
1386,There's a much higher risk I will miss PRs sent to the TF tree since I don't check for those in my email.,"miss, TF tree",There's a much higher risk I will not notice PRs sent to the TF set of PRs since I don't check for those in my email.,"There's a much higher risk, we will miss enemy submarines infiltrating our naval defenses since we don't monitor their movements using sonar technology.",TF tree,miss,metaphor
770,I've been meaning to think of some abstractions - if you have suggestions I'm all ears.,"think of some abstractions, I'm all ears",I've been meaning to think of hiding the irrelevant variables in the code- if you have suggestions I'm willing to hear.,I've been meaning to visualize some abstract art - if you have suggestions I'm all eyes.,think of some abstractions,I'm all ears,idiom
358,"Getting the wrong type of response would usually - in the case of client
libraries - indicate something like a threading bug.",threading bug,Getting the wrong type of response would usually - in the case of client libraries - indicate something like a task-managment error,Getting the wrong type of thread would usually - in the case of embroidery work - indicate something like a threading mistake.,threading bug,,metaphor
144,Also is there anything special about 4 threads :-).,threads,Also is there anything special about 4 conversations :-).,"Also, is there anything special about the 4 threads you picked for the sewing project?",threads,,metaphor
189,"As public APIs, it would be great to have the functions kindly throw exceptions for these cases instead of crashing.","throw, crash","As public APIs, it would be great to have the functions kindly return exceptions for these cases instead of running into errors.","At the baseball game, the pitcher kindly throw the ball to the players and prevent any collision of members on the field.","throw, crash",,metaphor
186,As discussed let's rather throw a warning here :-),"throw, warning",As discussed let's rather display a warning message here :-),"As discussed, the team leader threw a warning to the team, reminding them of the deadline for the project.","throw, warning",,metaphor
1494,Throwing an error is a little fishy... Can't this use the `onDidChange` event and trigger a refresh that way?,"Throwing, fishy",writing an error message is a little suspicious... Can't this use the `onDidChange` event and trigger a refresh that way?,Casting a fishing line is a little tricky... Can't this use the drone technology and initiate a precision casting mechanism that way?,Throwing,fishy,metaphor
369,"Granted, didn't do very well the last time, but this is not just throwing code here... :P",throwing code,"Granted, didn't do very well the last time, but this is not just trying anything here... :P","Granted, didn't do very well the last time, but this is not just planting seeds here... :P",throwing code,,metaphor
121,"Again thanks for looking into the ticket, hopefully I explained myself clearer this time.",ticket,"Again thanks for looking into the reported issue, hopefully I explained myself clearer this time.","Thanks again for observing the bird species; hopefully, I provided a clearer description of their feeding habits this time.",ticket,,metaphor
1127,So checking timestamps will be required and it quickly becomes complicated and uncertain.,timestamps,So checking recorded information will be required and it quickly becomes complicated and uncertain.,"So analyzing soil quality will be necessary, and it rapidly becomes intricate and uncertain.",timestamps,,metaphor
1465,this may help a tiny bit on perf as well :),tiny bit on perf,This may help a small performance improvement as well :),this may not help to optimization at all :(,tiny bit on perf,,idiom
1143,"So that is why this was not fixed until now, too many open tickets :D",too many open tickets,"So that is why this was not fixed until now, there are several requests :D","So that is why the concert was postponed, too many open tickets left unsold.",too many open tickets,,idiom
633,"I think the biggest culprit is that models are trained to give independant probabilities, and not joint ones.","biggest culprit, trained, give","I think the most important reason is that models are prepared to calculate independant probabilities, and not joint ones.","I think the largest criminal in town is the man who was trained to provide assistance, not monetary donations.",trained,"biggest culprit, give",metaphor
1426,This is currently making the training loop quite bloated.,"making, training loop, bloated",This is currently causing the loop of finding the best model weight parameters computationally heavy.,The influx of tourists is currently making the hotel lobby quite bloated.,training loop,"making, bloated",metaphor
484,"I am really missing this, especially for custom training loops.",training loop,"I am really missing this, especially for custom iteration of code running.","I am really missing this, especially for custom workout routines.",training loop,,metaphor
802,"If we do this not sure how the training part goes, but yeah implementation will be smooth it that case :)","training part, goes, smooth, case","If we do this, I'm unsure about the process of training, but the implementation will be without major issues in that situation.","If we pursue this hiking trail, I'm uncertain about the navigation challenges we might encounter, but yes, the scenery will be enjoyable in that case. :)","training part, smooth","goes, case",metaphor
1515,"Unfortunately, this function is treeshaked-out of monaco-editor because nothing is using it.",treeshaked-out,"Unfortunately, this function is taken from monaco-editor because nothing is using it.","Regrettably, this plant is pruned and removed from the garden because it serves no purpose.",treeshaked-out,,idiom
1590,Would be nice to have a test that triggers the error,triggers,Would be nice to have a test that generates the error,Would be nice to have a sensor that detects the temperature.,triggers,,metaphor
202,Be aware that things like this may trip on dead keys or various other properties of keyboard layouts.,trip on dead keys,Be aware that things like this could face issues if key board keys are accidentally pressed,Be aware that animals like this may become entangled in fishing nets or various other hazards in their natural habitats.,trip on dead keys,,idiom
17,"@API92 ,
In order to expedite the trouble-shooting process, could you please provide code dependencies you are using as I was facing error to provide `input for the checkpoints`.Thanks!","trouble-shooting, facing","@API92 ,
In order to expedite the problem identification process, could you please provide code dependencies you are using as I was encountering error to provide `input for the checkpoints`.Thanks!","@API92, In order to accelerate the soccer match strategy analysis, could you please provide the player statistics you have gathered as I was confronting the opposing team's coach regarding their aggressive plays during our last match. Thanks!",trouble-shooting,facing,metaphor
1167,Sorry for the long turnaround on this PR @zhuzilin.,turnaround on this PR,Sorry for the long processing time on this PR @zhuzilin.,Thanks for the quick response on this PR @zhuzilin.,turnaround on this PR,,idiom
19,@arjunbalgovind this is an umbrella issue for all potential problems of that class.,umbrella issue,@arjunbalgovind this is an across the board issue for all potential problems of that class.,@arjunbalgovind during the heavy rain this leaked umbrella can worsen the issue for potential problems of getting soaked.,umbrella issue,,idiom
73,"@roblourens This smell like ""under the radar"" API work.",under the radar,"@roblourens This smell like ""in a secrative manner"" API work.","@roblourens This seems like ""under the radar"" flight navigation techniques.",under the radar,,idiom
1620,Yes honestly it is so hard to explain this kind of underline machinery to our users/developers.,underline machinery,Yes honestly it is so hard to explain this kind of complicated computations to our users/developers.,Yes honestly it is so hard to explain this kind of framework to our users/developers.,underline machinery,,idiom
1516,"Unfortunately, unrolling the loop does not gain the performance.","unrolling, gain","Unfortunately, expanding the loop does not improve the performance.","Fortunately, unfurling the sails does not slow down the ship's speed.",unrolling,gain,metaphor
1077,Please always test the latest unstable build before opening an issue.,unstable build,Please always test the latest non-tested program before opening an issue.,Please always taste the newest savory dish before leaving a review.,unstable build,,idiom
1345,The new unstable version now correctly loads all classes again.,unstable version,The new error-filled version now correctly loads all classes again.,The newly constructed house now correctly supports all types of furniture again.,unstable version,,idiom
1197,Sounds like an upstream bug with Chrome or Electron?,upstream,Sounds like an earlier bug with Chrome or Electron?,Sounds like a mosquito infestation with a surge with a nearby breeding ground?,upstream,,metaphor
120,"Again it is all in ""user land"" so the dev is in full control if they want to take advantage of it.",user land,Again it is all in the application layer so the dev is in full control if they want to take advantage of it.,"At the theme park named ""User Land"" so the family is in full control if they want to enjoy the rides.",user land,,metaphor
490,I am... disinterested in userland hooks.,"userland, hooks",I am... disinterested in pieces of software that alter the behavior of an operating system.,I am disinterested in fishing hooks.,userland hooks,,metaphor
1373,"There are even more possible combinations than are shown in the documentation you linked, many projects look like version hell at the moment.",version hell,"The documentation you linked only scratches the surface of the potential combinations, and many projects are currently struggling with version issues.","In the gym, there are even more possible exercise combinations than what the workout program outlines. Many workouts feel like a fitness nightmare at the moment.",version hell,,idiom
1612,Yeah we should warn and not throw.,warn and not throw,Yeah we should show warning message before showing error.,Yeah we should advise and not force.,warn and not throw,,idiom
1125,so be it (will try to not loose sleep over wasted bytes),"loose sleep, wasted bytes",so be it (will try to not to be stressed over lost storage),so be it (will try to not worry over spilled ink),wasted bytes,loose sleep,metaphor
1367,The weakling gem provides a better WeakRef implementation for Jruby that uses the native Java weak references.,weakling gem,The ruby library provides a better WeakRef implementation for Jruby that uses the native Java weak references.,The waste management company offers a better garbage disposal solution for residential areas that utilizes the latest waste collection techniques.,weakling gem,,idiom
33,"@cwkeam no worries, and thank you for the weights!","worries, weights","@cwkeam no problem, and thank you for the coeficient!","@cwkeam no problem, and thank you for the balancing scales!",weights,worries,metaphor
1014,Not since the new method to load the TF weights :),weights,Not since the new method to load the TF coefficient :),Not since the new equipment arrived to load the heavy dumbbells :),weights,,metaphor
242,But my classes are highly imbalanced; not using class weights would train a useless model.,"weights, train",But my classes are highly imbalanced; not using class coeficients would prepare a useless model.,But my workout routine involves a variety of exercises; not using actual weights would only train an underdeveloped fitness level.,"weights, train",,metaphor
1633,You also seemed to have ignored my statements about all the weird garbage in the storage.json file which since you suspected it may be corrupt would seem to be very relevant.,weird garbage,You also seemed to have ignored my statements about all the weird useless data in the storage.json file which since you suspected it may be corrupt would seem to be very relevant.,"You also seemed to have disregarded my suggestions about all the strange artifacts in the museum exhibit which, given your suspicion of their authenticity, would appear to be very significant.",weird garbage,,metaphor
1358,"The problem with that, though, is that our models often have weird losses that are really painful for users to implement correctly","weird losses, painful","The problem with that, though, is that our models often have unexpected decreases in performance that are really difficult for users to implement correctly","The conflict with that, though, is that our armies often face unconventional battles that are truly devastating for soldiers to navigate successfully.",weird losses,painful,metaphor
203,Because I did build the wheel with bazel.,wheel,Because I did build the Python language package installation file with bazel.,Because I did build the wheel for my bicycle with bazel.,wheel,,metaphor
1250,Thanks but I am not a maintainers in this repo and I've not a Win machine.,Win machine,Thanks but I am not a maintainers in this repo and I've not guaranteed to win.,"Thanks for the offer, but I don't own a winning lottery machine, so I cannot guarantee you a jackpot.",Win machine,,idiom
259,But with your proposed approach us 'customizers' are still gonna end up with dead weight in our bundle due to the `rails.gemspec` dependencies that we're not loading.,with dead weight in our bundle,But with your proposed approach us 'customizers' are still gonna end up with extra encumberance in our bundle due to the `rails.gemspec` dependencies that we're not loading.,"During our hiking trip, we customizers had to carry dead weight in our bundle because someone insisted on bringing unnecessary items along with the essential provisions.",with dead weight in our bundle,,idiom
268,Cause otherwise this won't work for heads like `UperHead`.,work for heads,Cause otherwise this won't look good to supervisors like `UperHead`.,"Because otherwise, this hair product won't work for heads with hair types like frizzy.",work for heads,,idiom
1078,"Please be sure to wrap inline code in backticks, since starting a line with a `#` will turn it into a header.",wrap inline code,"Please be sure to put code dependant on the line above it in backticks, since starting a line with a `#` will turn it into a header.","Please be sure to wrap hazardous materials in protective packaging, since mishandling them will turn into a potential danger.",wrap inline code,,idiom
1586,would appreciate some more precise info that will allow me to zero in on the bug,zero in on the bug,would appreciate some more precise info that will allow me to identify the code problem.,The entomologist needed a magnifying glass to zero in on the bug's unique markings.,zero in on the bug,,idiom
660,"I trust the devs and community to support it because it's ""1st party"".",1st party,I trust the devs and community to support it because it's propietary,"I trust the doctors and nurses to support the patient because they are ""first responders"".",,1st party,metaphor
919,Just need your 2 cents :),2 cents,Just need your basic understanding :),Just need your 2 dollars for a charity donation.,,2 cents,metaphor
975,"My 2 cents, the auto-show/auto-hide feature is very interesting for people like me who codes on small screens.",2 cents,"My unasked for opinion, the auto-show/auto-hide feature is very interesting for people like me who codes on small screens.","My 2 cents, the vending machine doesn't accept coins anymore, only bills.",,2 cents,metaphor
1611,"Yeah that was a bit rough lol, what do you think of the updated one?",a bit rough,"Yeah that was a little unsophisticated lol, what do you think of the updated one?","Yeah, that ride was a bit rough lol, what do you think of the updated route?",,a bit rough,idiom
1310,That's a good small step in the right direction!,a good small step,That's a good small progress in the right direction!,"The toddler took a good small step while learning to walk, finally making progress in the right direction.",,a good small step,idiom
1486,This would add a hell lot of unneeded complexity.,a hell lot of,This would add additional unneeded complexity,"During the Halloween party, John added a hell lot of spooky decoration to the room.",,a hell lot of,idiom
107,"A little clarity, a blog, SOMETHING would really help.",A little clarity,"Some information, a blog, SOMETHING would really help.",A little clarity in the glass allowed her to see the fish swimming through the murky waters.,,A little clarity,idiom
1645,You saved me a lot of hours debugging this later down the road.,"a lot of hours, down the road",You saved me a lot of hours debugging this later in the future.,You saved me a lot of hours by finding an alternate route to the road.,,"a lot of hours, down the road",idiom
1636,You can always experiment with `--log_level error` and see that all the logs are gone ;) This is a new new world!,a new new world,You can always experiment with `--log_level error` and see that all the logs are gone ;) This is another beginning!,You can always experiment with `--log_level error` and see that all the logs has appeared ;) This is a reliable technique.,,a new new world,idiom
1136,So it looks like your issue should address smali lib in the first place.,"address, first place",So it looks like your issue should talk about smali lib to begin.,So it appears that your concern should address the main problem of reducing electricity consumption at home.,,"address, first place",metaphor
720,I'm all for adopting acrylic either way and would be happy to implement it.,adopting,Im all for using acrylic either way and would be happy to implement it,"I'm all for adopting a new pet at the animal shelter, either way, I would be happy to implement healthy habits in my lifestyle.",,adopting,metaphor
1057,"Oops, got a little too ahead of myself here!",ahead of myself,"Oops, got a little too focused on the future plans without paying attention to the current circumstances here!","Oops, got a little behind schedule here!",,ahead of myself,idiom
694,"I would like to air it, maybe this isn't the right forum.",air it,"I would like tovoice my opinion, maybe this isn't the right forum.","I would like to air it by opening the windows, this room isn't well-ventilated",,air it,metaphor
893,It's almost like this was the plan all along!,all along,It's almost like this was the plan since the start!,It's almost like this was the plan out of the blue!,,all along,idiom
750,"I'm sorry for that, all credits belong to the original author.",all credits belong to,"I'm sorry for that, the original author did all the work.","I apologize for that, all the money belongs to the bank.",,all credits belong to,idiom
132,All good as it is for me - Sorry!,All good as it is,Everything functions as it should for me - Sorry!,The code looks very impressive to me - Thanks!,,All good as it is,idiom
76,"@sayakpaul regarding the PR, all good on my end, but we still need approval from @sgugger :D",all good on my end,"@sayakpaul regarding the PR, I'm okay with everything, but we still need approval from @sgugger :D","@sayakpaul regarding the workout, all exercises went well on my end, but we still need consent from @sgugger to continue with the training. 😊",,all good on my end,idiom
